abandon,freedom from artificial constraint
consolation,the state of being consoled
console,a bracket whose projection is not more than half its height
conspiracy,confederacy
constancy,firmness of mind under sufferings steadiness in attachments or perseverance in enterprise
constant,"a number whose value , when ascertained ( as by observation ) and substituted in a general mathematical formula expressing an astronomical law , completely determines that law and enables predictions to be made of its effect in particular cases"
consternation,"terror , combined with amazement"
constitutional,a walk or other exercise taken for one ' s health or constitution
constitution,the state of being
construction,the form or manner of building or putting together the parts of anything
consul,"an official commissioned to reside in some foreign country , to care for the commercial interests of the citizens of the appointing government , and to protect its seamen"
consultation,the act of consulting or conferring
consumption,waste
contact,"the property of two curves , or surfaces , which meet , and at the point of meeting have a common direction"
contemplation,the act of looking forward to an event as about to happen
contemporary,one who lives at the same time with another
contempt,shame
content,contentment
contentment,content
contest,controversy
continent,the main land
continuance,constant renewal
continuation,propagation
contract,an interchange of legal rights
contradiction,an assertion of the contrary to what has been said or affirmed
contradictory,contrariety
contrast,"the act of contrasting , or the state of being contrasted"
contribution,the act of contributing
contrivance,plan
control,power or authority to check or restrain
controversy,debate
convenience,an accommodation
convent,a monastery or nunnery
convention,usage
conversation,close acquaintance
converse,frequent intercourse
conversion,"the act of turning or changing from one state or condition to another , or the state of being changed"
convert,"a lay friar or brother , permitted to enter a monastery for the service of the house , but without orders , and not allowed to sing in the choir"
conveyance,"the act of conveying , carrying , or transporting"
conviction,"the act of convincing of error , or of compelling the admission of a truth"
convict,one legally convicted or sentenced to punishment for some crime
cook,one whose occupation is to prepare food for the table
cool,coolness
coolness,self - possession
copper,"a common metal of a reddish color , both ductile and malleable , and very tenacious"
copy,"an imitation , transcript , or reproduction of an original work"
copyright,"the right of an author or his assignee , under statute , to print and publish his literary or artistic work , exclusively of all other persons"
coral,the ovaries of a cooked lobster
cord,"a pile of wood , or other coarse material , eight feet long , four feet high , and four feet broad"
cordial,a liqueur
core,"the heart or inner part of a thing , as of a column , wall , rope , of a boil , etc"
cork,"a mass of tabular cells formed in any kind of bark , in greater or less abundance"
corner,any quarter or part
corn,"it is used for decoration , especially in the fall"
corporal,"a fine linen cloth , on which the sacred elements are consecrated in the eucharist , or with which they are covered"
corporation,"a body politic or corporate , formed and authorized by law to act as a single person , and endowed by law with the capacity of succession"
corpse,the dead body of a human being
correction,discipline
correspondence,congruity
correspondent,one who carries on commercial intercourse by letter or telegram with a person or firm at a distance
corridor,"any relatively narrow passageway or route , such as a strip of land through a foreign territory"
corruption,"the act of corrupting or of impairing integrity , virtue , or moral principle"
cost,"the amount paid , charged , or engaged to be paid , for anything bought or taken in barter"
costume,"such an arrangement of accessories , as in a picture , statue , poem , or play , as is appropriate to the time , place , or other circumstances represented or described"
