abandon,freedom from artificial constraint
commodore,"a title given by courtesy to the senior captain of a line of merchant vessels , and also to the chief officer of a yachting or rowing club"
commonplace,a platitude
common,to a number of persons
commonwealth,the public
commotion,a popular tumult
communication,association
communion,community
community,"the public , or people in general"
compact,an agreement between parties
companion,a comrade
companionship,association
company,a companion or companions
comparison,the act of comparing
compartment,"one of the parts into which an inclosed portion of space is divided , as by partitions , or lines"
compass,a passing round
compassion,pity
compensation,amends
competition,common strife for the same objects
compilation,a book or document composed of materials gathering from other books or documents
complaint,murmuring
completion,fulfillment
complex,assemblage of related things
complexion,the general appearance or aspect
compliance,a yielding
compliment,a ceremonious greeting
composer,"one who , or that which , quiets or calms"
composition,"the act of writing for practice in a language , as english , latin , german , etc"
composure,a settled state
compound,"a union of two or more ingredients in definite proportions by weight , so combined as to form a distinct substance"
comprehension,perception
compromise,"a reciprocal abatement of extreme demands or rights , resulting in an agreement"
comrade,"a mate , companion , or associate"
concealment,a secret place
conceit,conception
concentration,the act or process of concentrating
concept,a notion
conception,the power or faculty of apprehending of forming an idea in the mind
concern,that which affects the welfare or happiness
concert,simultaneous action
concession,"usually implying a demand , claim , or request , and thus distinguished from giving , which is voluntary or spontaneous"
conclusion,determination
concrete,a term designating both a quality and the subject in which it exists
condemnation,the act of condemning or pronouncing to be wrong
condition,"state or situation with regard to external circumstances or influences , or to physical or mental integrity , health , strength , etc"
conductor,"one who , or that which , conducts"
conduct,personal deportment
conference,interchange of views
confession,profession of one ' s faith
confidence,such assurance as leads to a feeling of security
confine,border
confinement,imprisonment
confirmation,proof
conflict,violent collision
conformity,compliance with the usages of the established church
confusion,shame
congregation,a collection or mass of separate things
conjecture,suspicion
conjunction,union
connection,"the act of connecting , or the state of being connected"
connexion,connection
conscience,the moral faculty passing judgment on one ' s self
consciousness,"knowledge of one ' s own existence , condition , sensations , mental operations , acts , etc"
consent,"voluntary accordance with , or concurrence in , what is done or proposed by another"
consequence,a proposition collected from the agreement of other previous propositions
consequent,a result or natural effect
conservative,"one who , or that which , preserves from ruin , injury , innovation , or radical change"
consideration,contemplation
consolation,refreshment of spirit
console,a bracket whose projection is not more than half its height
conspiracy,a plot
constancy,fixedness
constant,that which is not subject to change
consternation,dismay
constitutional,a walk or other exercise taken for one ' s health or constitution
constitution,the aggregate of all one ' s inherited physical qualities
construction,the act of devising and forming
consul,one of the two chief magistrates of the republic
consultation,the act of consulting or conferring
consumption,decay
contact,a close union or junction of bodies
