abandon,careless freedom or ease
criticism,a critical observation or detailed examination and review
criticism,a critique
crop,the craw
cross,disappointment
crossing,a mixing of breeds
crow,a crowbar
crowd,an ancient instrument of music with six strings
crowd,the lower orders of people
crowd,the vulgar
crown,a reward
crown,"a wreath or garland , or any ornamental fillet encircling the head , especially as a reward of victory or mark of honorable distinction"
crow,the cry of the cock
cruelty,the attribute or quality of being cruel
cruise,"a voyage aboard a ship , in which the activities on the ship itself form a major objective of the voyage"
cruise,"a voyage made in various directions , as of an armed vessel , for the protection of other vessels , or in search of an enemy"
crust,"the cover or case of a pie , in distinction from the soft contents"
cry,clamor
cultivation,bestowal of time or attention for self - improvement or for the benefit of others
cultivation,improvement for agricultural purposes or by agricultural processes
cultivation,refinement
culture,result of cultivation
cupboard,any small closet
cup,revelry
cup,the contents of such a vessel
cure,a method of medical treatment
curiosity,inquisitiveness
currency,the rate at which anything is generally valued
current,that which resembles a stream in motion
curse,malediction
curse,"subjection to , or sentence of , divine condemnation"
curtain,"in theaters , and like places , a movable screen for concealing the stage"
curve,"a line described according to some low , and having no finite portion of it a straight line"
cushion,a soft pillow or pad
custody,restraint of liberty
customary,"a book containing laws and usages , or customs"
customer,a peculiar person
custom,method of doing or living
custom,way of acting common to many
cut,an opening made with an edged instrument
cut,a stroke or blow or cutting motion with an edged instrument
cut,a wound made by cutting
cut,"personal discourtesy , as neglecting to recognize an acquaintance when meeting him"
cut,"that which wounds the feelings , as a harsh remark or criticism , or a sarcasm"
dainty,a term of fondness
damage,"a compensation , recompense , or satisfaction to one party , for a wrong or injury actually done to him by another"
damage,an inflicted loss of value
damp,moisture
damsel,a girl
damsel,a maiden
damsel,a young unmarried woman
dance,"the leaping , tripping , or measured stepping of one who dances"
danger,"exposure to injury , loss , pain , or other evil"
darkness,gloom
dart,the dace
daughter,a woman
dawn,the break of day
daylight,"the light of the sun , as opposed to that of the moon or to artificial light"
day,the light
day,"the time of light , or interval between one night and the next"
dealing,"distribution of anything , as of cards to the players"
dealing,the act of one who deals
death,act or state of passing from life
death,extinction
debate,controversy
deceit,"any declaration , artifice , or practice , which misleads another , or causes him to believe what is false"
deceit,fraud
deception,cheat
declaration,"the act of declaring , or publicly announcing"
decline,that period of a disorder or paroxysm when the symptoms begin to abate in violence
decree,a determination or judgment of an umpire on a case submitted to him
deed,achievement
deed,an act
deed,an action
deed,a thing done
defeat,"an overthrow , as of an army in battle"
defeat,repulse suffered
defense,"anything employed to oppose attack , ward off violence or danger , or maintain security"
defense,a protection
defiance,contempt of opposition
deficiency,inadequacy
definition,a description of a thing by its properties
degradation,abasement
degradation,baseness
