abandon,freedom from artificial constraint
currency,"a passing from person to person , or from hand to hand"
currency,"that which is in circulation , or is given and taken as having or representing value"
current,general course
current,progressive and connected movement
curtain,drapery of cloth or lace hanging round a bed or at a window
cushion,a soft pillow or pad
custody,judicial or penal safe - keeping
custom,business support
customer,a peculiar person
custom,habitual buying of goods
custom,"long - established practice , considered as unwritten law , and resting for authority on long consent"
custom,method of doing or living
cylinder,the space inclosed by any cylindrical surface
dagger,a timber placed diagonally in a ship ' s frame
dainty,a delicacy
dainty,that which is delicious or delicate
damage,detriment
damage,hurt
dame,"a woman in general , especially an elderly woman"
damp,fogginess
damp,humidity
damsel,a maiden
damsel,a young unmarried woman
daring,boldness
dark,a place where there is little or no light
darkness,obscurity
darkness,the absence of light
dart,a fish
dart,"a pointed missile weapon , intended to be thrown by the hand"
dash,a sudden check
date,"that addition to a writing , inscription , coin , etc"
dawn,first appearance
dawn,the first appearance of light in the morning
day,the light
day,"the time between sunrise and sunset , or from dawn to darkness"
dead,the most quiet or deathlike time
deal,an indefinite quantity degree or extent degree or extent
deal,a part or portion
dealer,one who deals
dealing,method of business
dean,the head or presiding officer in the faculty of some colleges or universities
debate,contention in words or arguments
debate,controversy
debt,a duty neglected or violated
debt,thing owed
deceit,a contrivance to entrap
deceit,fraud
decency,becoming ceremony
decency,proper formality
decency,that which is proper or becoming
deception,cheat
decision,"determination , as of a question or doubt"
declaration,"the act of declaring , or publicly announcing"
decline,a falling off
decoration,nament
decoration,something added by way of embellishment
decree,a determination or judgment of an umpire on a case submitted to him
deed,a thing done
deed,illustrious act
defeat,"frustration by rendering null and void , or by prevention of success"
defect,deficiency
defense,a guard
deference,respect
defiance,"the act of defying , putting in opposition , or provoking to combat"
defiance,willingness to flight
definition,an exact enunciation of the constituents which make up the logical essence
definition,an explanation of the meaning of a word or term
definition,the act of defining
degradation,abasement
degradation,a lowering from one ' s standing or rank in office or society
degradation,degeneration
degradation,disgrace
degradation,"moral , physical , or intellectual degeneracy"
degradation,"the act of reducing in rank , character , or reputation , or of abasing"
degree,position
degree,quality
degree,rank or station in life
delay,detention
deliberation,careful consideration
deliberation,careful discussion and examination of the reasons for and against a measure
delicacy,"and hence , frailty or weakness"
delicacy,nice propriety of manners or conduct
delicacy,tenderness
delight,a high degree of gratification of mind
delight,a high - wrought state of pleasurable feeling
delight,joy
delirium,strong excitement
delirium,wild enthusiasm
delivery,manner of speaking
delivery,rescue
demand,a diligent seeking or search
demand,query
democracy,a constitutional representative government
democracy,a republic
democracy,"collectively , the people , regarded as the source of government"
