abandon,freedom from artificial constraint
confirmation,convincing testimony
conflict,fighting
conformity,resemblance
confusion,the state of being mixed or blended so as to produce indistinctness or error
congregation,a collection or mass of separate things
conjecture,surmise
conjunction,league
connection,that which connects or joins together
connexion,connection
conscience,the moral sense
consciousness,"knowledge of one ' s own existence , condition , sensations , mental operations , acts , etc"
consent,approval
consequence,that which follows something on which it depends
consequent,"that which follows , or results from , a cause"
conservative,one who holds moderate opinions in politics
consideration,thoughtful or sympathetic regard or notice
consolation,the state of being consoled
console,a bracket whose projection is not more than half its height
conspiracy,a combination of people for an evil purpose
constancy,stability
constant,"a number whose value , when ascertained ( as by observation ) and substituted in a general mathematical formula expressing an astronomical law , completely determines that law and enables predictions to be made of its effect in particular cases"
consternation,"terror , combined with amazement"
constitutional,a walk or other exercise taken for one ' s health or constitution
constitution,texture
construction,the arrangement and connection of words in a sentence
consul,one of the two chief magistrates of the republic
consultation,the act of consulting or conferring
consumption,decay
contact,"the property of two curves , or surfaces , which meet , and at the point of meeting have a common direction"
contemplation,the act of looking forward to an event as about to happen
contemporary,a person of nearly the same age as another
contempt,disgrace
content,contentment
contentment,the state of being contented or satisfied
contest,conflict
continent,the main land
continuance,"permanence , as of condition , habits , abode , etc"
continuation,the state of being continued
contract,"an agreement in which a party undertakes to do , or not to do , a particular thing"
contradiction,denial of the truth of a statement or assertion
contradictory,a proposition or thing which denies or opposes another
contrast,"the act of contrasting , or the state of being contrasted"
contribution,that which is contributed
contrivance,arrangement
control,"that which serves to check , restrain , or hinder"
controversy,contention
convenience,propriety
convent,a monastery or nunnery
convention,general agreement or concurrence
conversation,informal dialogue
converse,chat
conversion,"an appropriation of , and dealing with the property of another as if it were one ' s own , without right"
convert,"a person who is won over to , or heartily embraces , a creed , religious system , or party , in which he has not previously believed"
conveyance,transmission
convict,a person proved guilty of a crime alleged against him
conviction,"the act or process of finding guilty , or the state of being found guilty of any crime by a legal tribunal"
cook,"a fish , the european striped wrasse"
cool,coolness
coolness,"a moderate degree , or a want , of passion"
copper,"a common metal of a reddish color , both ductile and malleable , and very tenacious"
copy,"an imitation , transcript , or reproduction of an original work"
copyright,"the right of an author or his assignee , under statute , to print and publish his literary or artistic work , exclusively of all other persons"
coral,the ovaries of a cooked lobster
cord,"a string , or small rope , composed of several strands twisted together"
cordial,any invigorating and stimulating preparation
